source,year,simpname,nationality,edu,prof,org,loc,lon,lat
imm,1909,"cameron, w m",,,engineer,south randfontein deep ltd,johannesburg transvaal,28.0455645,-26.1805735
imm,1909,"cameron, w m",,,engineer,tudor gold mining ltd,johannesburg transvaal,28.0455645,-26.1805735
imm,1909,"campion, g w",,,engineer,hampton properties ltd,kalgoorlie western australia,121.466,-30.749
imm,1909,"campion, g w",,,engineer,red hill westralia gold mines ltd,kalgoorlie western australia,121.466,-30.749
imm,1909,"cape, f w",,,engineer,conrad stannite mines ltd,w f,-95.9245433,36.0761509
imm,1909,"caplen, t v",,,engineer,fife coal ltd,tom vizianagaram india,83.3955506,18.1066576
imm,1909,"caplen, t v",,,engineer,fife coal ltd,tom vizianagaram india,83.3955506,18.1066576
imm,1909,"caplen, t v",,,engineer,visianagaram mining ltd,tom vizianagaram india,83.3955506,18.1066576
imm,1909,"carlyle, e w",,,engineer,english crown spelter ltd,nossa bergamo italy,9.8863779,45.8672347
imm,1909,"carlyle, w a",,,engineer,kyshtim ltd ltd,wall e c,,
imm,1909,"carlyle, w a",,,engineer,le roi minu company ltd,wall e c,,
imm,1909,"carmichael, a p",,,engineer,estremaaura mining ltd,hailes street edinburgh,-3.2050928,55.9415497
imm,1909,"carmichael, i m",,,engineer,new mining and exploring synd ltd,m malaga spain,-4.4259962,36.7167456
imm,1909,"carmichael, n c",,,engineer,arizona copper ltd,u s a,-95.712891,37.09024
imm,1909,"carmichael, n c",,,engineer,highlandkootenay b c mining ltd,district british columbia,-127.6476205,53.7266683
imm,1909,"carnea, c s",,,engineer,harton coal ltd,sou a shields,-122.6959071,42.1859996
imm,1909,"carrick, d j",,,engineer,lace proprietary mines ltd,johannesburg transvaal,28.0455645,-26.1805735
imm,1909,"carroll, f c",,,engineer,aurora west united gold mining ltd,charters towers queensland,146.2601362,-20.0769637
imm,1909,"carroll, j t",,,engineer,taitapn gold estates ltd,nelson n z,173.2839653,-41.2706319
imm,1909,"carter, e n",,,engineer,tasman crown lyell extended mines ltd,north lyell tasmania,145.61,-42.05
imm,1909,"carter, p b",,,engineer,sheba gold mining ltd,johannesburg transvaal,28.0455645,-26.1805735
imm,1909,"carters, t l",,,engineer,french rand gold mining co ltd,vlei western witwatersrand,27.8486571,-25.7855464
imm,1909,"cataja, a c",,,engineer,carballino gold and arsenic mines ltd,carballino orense spain,-8.0775086,42.4316551
imm,1909,"castle, p b",,,engineer,nourse mines ltd,johannesburg transvaal,28.0455645,-26.1805735
imm,1909,"cecil, h h",,,engineer,southern cross copper ltd,southern cross copper,,
imm,1909,"cervantes, d d",,,engineer,serena iron ore ltd,d diego spain,2.692257,39.573629
imm,1909,"chad, w s",,,engineer,j and j charlesworth ltd,yorkshire collieries yorki,,
imm,1909,"chalmers, g m",,,engineer,st john del rey mining ltd,minas geraes brazil,-44.5550308,-18.512178
imm,1909,"chany, f s",,,engineer,english and australian copper ltd,adelaide south australia,138.6007456,-34.9284989
imm,1909,"chaplin, g p",,,engineer,charleton dickinson ltd,bolivia mines colombia,,
imm,1909,"chaplin, g p",,,engineer,frontino and boliviasouth americangold mining ltd,bolivia mines colombia,,
imm,1909,"chaplin, g p",,,engineer,general mining and finance ltd ltd,bolivia mines colombia,,
imm,1909,"chase, f d",,,engineer,burma ruby mines ltd,w d,-96.8736591,32.9845801
imm,1909,"chauvenet, d r",,,engineer,corona queen mining ltd,u s a,-95.712891,37.09024
imm,1909,"chllcott, h f",,,engineer,scottish australian mining ltd,n s w,146.921099,-31.2532183
imm,1909,"cifuentob, a g",,,engineer,oviedo mercury mines ltd,a gyon spain,-5.6611195,43.5322015
imm,1909,"clark, j n",,,engineer,niddrie and benhar coal ltd,portobello n b,,
imm,1909,"clark, l c",,,engineer,braxton b d ltd,c derby tasmania,147.8011307,-41.1477748
imm,1909,"clark, l c",,,engineer,broken hill proprietary ltd,c derby tasmania,147.8011307,-41.1477748
imm,1909,"clark, l c",,,engineer,r w british borneo exploration ltd,c derby tasmania,147.8011307,-41.1477748
imm,1909,"clarkson, r m",,,engineer,new rietfontein estate gold mines ltd,office rietfontein transvaal,28.2204987,-25.7090736
imm,1909,"claudet, a c",,,engineer,general mining and finance ltd ltd,coleman street london,-0.0897947,51.5160612
imm,1909,"clay, s i",,,engineer,foldal copper and sulphur ltd,ironmonger lane london,-0.0917797,51.5144551
imm,1909,"clemes, h p",,,engineer,new consolidated gold fields ltd,pavement house london,-0.1401544,51.4621578
imm,1909,"clifford, e r",,,engineer,h e proprietarynew ltd,e r,-95.6393901,37.0409171
imm,1909,"cochrane, n s",,,engineer,jumper gold synd california ltd,u s a,-95.712891,37.09024
imm,1909,"cook, b p",,,engineer,waihi gold mining ltd,sebakwe district rhodesia,30.0264369,-19.0102719
imm,1909,"cohen, e h",,,engineer,welgelegcn diamond mining ltd,exporation bdg johannesburg,28.0473051,-26.2041028
imm,1909,"colley, j e",,,engineer,lndwe railway collieries and land ltd,street cape town,18.4186309,-33.922923
imm,1909,"collin, b a",,,engineer,nigeria bitumen ltd ltd,b a,-95.9642174,36.7468251
imm,1909,"collins, g e",,,engineer,argo transportation and tunnel ltd,building denver colorado,-104.9848069,39.7393251
imm,1909,"collinsj, h a",,,engineer,breage valley mining ltd,par marion cornwall,-4.702452,50.350817
imm,1909,"collinsj, h a",,,engineer,dale copper mines and smelters ltd,par marion cornwall,-4.702452,50.350817
imm,1909,"collinsj, h a",,,engineer,united main reef gold mining ltd,par marion cornwall,-4.702452,50.350817
imm,1909,"colquhoun, t g",,,engineer,durban navigation collieries ltd,dannhauser newcastle natal,30.0578572,-28.0099582
imm,1909,"colson, a j",,,engineer,cwmdu quarries ltd,s o glam,-80.6969142,35.0842735
